datetime,open,high,low,close,rsi,average,sma10,sma20,sma50,ema10,ema20,ema50
2024-06-05 01:00:00,1.088,1.0882,1.0879,1.0882,56.13717,1.08805,,,,,,
2024-06-05 01:15:00,1.08815,1.08815,1.088,1.088,50.08923,1.08807,,,,,,
2024-06-05 01:30:00,1.0881,1.0882,1.088,1.08805,51.4953,1.0881,,,,,,
2024-06-05 01:45:00,1.08805,1.0882,1.088,1.0881,52.92353,1.0881,,,,,,
2024-06-05 02:00:00,1.0882,1.0882,1.0878,1.08815,54.37381,1.088,,,,,,
2024-06-05 02:15:00,1.088,1.0882,1.0878,1.0878,44.13745,1.088,,,,,,
2024-06-05 02:30:00,1.0878,1.0886,1.0878,1.0885,60.25379,1.0882,,,,,,
2024-06-05 02:45:00,1.0884,1.0886,1.0882,1.0884,57.69268,1.0884,,,,,,
2024-06-05 03:00:00,1.0884,1.0885,1.0882,1.0883,55.1674,1.08835,,,,,,
2024-06-05 03:15:00,1.0883,1.0885,1.0882,1.0885,59.02992,1.08835,1.08816,,,1.08818,,
2024-06-05 03:30:00,1.0885,1.0885,1.088,1.0884,56.41288,1.08825,1.08818,,,1.08818,,
2024-06-05 03:45:00,1.0884,1.08865,1.0882,1.0883,53.84222,1.08842,1.08822,,,1.08823,,
2024-06-05 04:00:00,1.0884,1.0886,1.0883,1.0885,57.96762,1.08845,1.08825,,,1.08827,,
2024-06-05 04:15:00,1.08855,1.0886,1.0884,1.0885,57.96762,1.0885,1.08829,,,1.08831,,
2024-06-05 04:30:00,1.08845,1.0886,1.0884,1.0885,57.96762,1.0885,1.08834,,,1.08835,,
2024-06-05 04:45:00,1.0885,1.0886,1.0882,1.08835,53.49106,1.0884,1.08838,,,1.08838,,
2024-06-05 05:00:00,1.08835,1.0884,1.088,1.0882,49.38099,1.0882,1.08838,,,1.08836,,
2024-06-05 05:15:00,1.08815,1.0882,1.0877,1.0877,38.71051,1.08795,1.08834,,,1.0883,,
2024-06-05 05:30:00,1.0878,1.0879,1.0877,1.0878,41.43677,1.0878,1.08828,,,1.08824,,
2024-06-05 05:45:00,1.0878,1.088,1.0877,1.0878,41.43677,1.08785,1.08823,1.0882,,1.08819,1.08818,
2024-06-05 06:00:00,1.08785,1.08795,1.0877,1.08775,40.39361,1.08783,1.08819,1.08819,,1.08816,1.08816,
2024-06-05 06:15:00,1.0877,1.0879,1.0877,1.0879,44.87368,1.0878,1.08813,1.08817,,1.08809,1.08815,
