datetime,open,high,low,close,rsi,trend,average,sma10,sma20,sma50,ema10,ema20,ema50
2005-06-30 16:00:00,1.21,1.2109,1.1942,1.1959,35.24325,Bearish,1.20255,,,,,,
2005-07-03 16:00:00,1.1934,1.1951,1.1886,1.1902,33.13947,Bearish,1.19185,,,,,,
2005-07-04 16:00:00,1.1901,1.1943,1.187,1.1916,34.17873,Bullish,1.19065,,,,,,
2005-07-05 16:00:00,1.1917,1.1955,1.1892,1.1932,35.41434,Bullish,1.19235,,,,,,
2005-07-06 16:00:00,1.1932,1.2043,1.1909,1.1953,37.0837,Bullish,1.1976,,,,,,
2005-07-07 16:00:00,1.1947,1.1987,1.1873,1.1971,38.5499,Bullish,1.193,,,,,,
2005-07-10 16:00:00,1.1967,1.2087,1.1957,1.2075,46.33162,Bullish,1.2022,,,,,,
2005-07-11 16:00:00,1.2075,1.2258,1.2052,1.2241,55.92565,Bullish,1.2155,,,,,,
2005-07-12 16:00:00,1.2241,1.2241,1.2071,1.2094,47.78008,Bearish,1.2156,,,,,,
2005-07-13 16:00:00,1.2083,1.2127,1.2056,1.2083,47.22574,None,1.20915,1.20104,,,1.20178,,
2005-07-14 16:00:00,1.2085,1.214,1.2012,1.2035,44.78423,Bearish,1.2076,1.20155,,,1.2021,,
2005-07-17 16:00:00,1.2022,1.209,1.2021,1.2054,45.97483,Bullish,1.20555,1.20292,,,1.20316,,
2005-07-18 16:00:00,1.2052,1.2068,1.1952,1.2035,44.93146,Bearish,1.201,1.20396,,,1.20368,,
2005-07-19 16:00:00,1.2033,1.2188,1.1995,1.2144,51.70327,Bullish,1.20915,1.20564,,,1.20595,,
2005-07-20 16:00:00,1.2153,1.2259,1.2101,1.2167,53.01613,Bullish,1.218,1.20768,,,1.20862,,
2005-07-21 16:00:00,1.2165,1.2191,1.2053,1.2067,47.02996,Bearish,1.2122,1.20959,,,1.20984,,
2005-07-24 16:00:00,1.2054,1.2089,1.2027,1.206,46.63303,Bullish,1.2058,1.20995,,,1.20958,,
2005-07-25 16:00:00,1.2067,1.2071,1.198,1.2012,43.89711,Bearish,1.20255,1.20866,,,1.20811,,
2005-07-26 16:00:00,1.2019,1.2089,1.1961,1.2071,47.9402,Bullish,1.2025,1.20735,,,1.20691,,
2005-07-27 16:00:00,1.2065,1.215,1.2033,1.2132,51.80713,Bullish,1.20915,1.20735,1.2042,,1.20751,1.20444,
2005-07-28 16:00:00,1.2127,1.2159,1.2073,1.213,51.67167,Bullish,1.2116,1.20775,1.20465,,1.2081,1.20498,
2005-07-31 16:00:00,1.2125,1.2252,1.2117,1.2176,54.61243,Bullish,1.21845,1.20904,1.20598,,1.20989,1.20657,
2005-08-01 16:00:00,1.2176,1.2255,1.2171,1.2199,56.05241,Bullish,1.2213,1.21107,1.20751,,1.212,1.20817,
2005-08-02 16:00:00,1.2192,1.2345,1.2148,1.2341,63.70791,Bullish,1.22465,1.21262,1.20913,,1.21371,1.20987,
2005-08-03 16:00:00,1.2333,1.2404,1.2298,1.2387,65.78707,Bullish,1.2351,1.21433,1.211,,1.21622,1.21215,
2005-08-04 16:00:00,1.239,1.2399,1.2313,1.2363,63.73544,Bearish,1.2356,1.21667,1.21313,,1.21839,1.2142,
2005-08-07 16:00:00,1.2343,1.2394,1.2318,1.235,62.59674,Bullish,1.2356,1.21965,1.2148,,1.2211,1.21579,
2005-08-08 16:00:00,1.2348,1.2418,1.2329,1.2371,63.72423,Bullish,1.23735,1.22313,1.2159,,1.22442,1.21692,
