datetime,open,high,low,close,rsi,trend,average,sma10,sma20,sma50,ema10,ema20,ema50
2024-08-16 20:30:00,1.10112,1.10153,1.10108,1.10139,70.17587,Bullish,1.1013,,,,,,
2024-08-16 20:35:00,1.10138,1.10151,1.10118,1.10122,62.83382,Bearish,1.10135,,,,,,
2024-08-16 20:40:00,1.10122,1.10155,1.10116,1.10149,68.33128,Bullish,1.10135,,,,,,
2024-08-16 20:45:00,1.10147,1.10177,1.10139,1.10173,72.43981,Bullish,1.10158,,,,,,
2024-08-16 20:50:00,1.10173,1.10201,1.10167,1.10193,75.19297,Bullish,1.10184,,,,,,
2024-08-16 20:55:00,1.10193,1.10218,1.10187,1.10205,76.74246,Bullish,1.10202,,,,,,
2024-08-16 21:00:00,1.10206,1.10222,1.10184,1.10203,75.82273,Bearish,1.10203,,,,,,
2024-08-16 21:05:00,1.10204,1.10208,1.10182,1.10187,69.31628,Bearish,1.10195,,,,,,
2024-08-16 21:10:00,1.10187,1.10195,1.10177,1.10189,69.66668,Bullish,1.10186,,,,,,
2024-08-16 21:15:00,1.10189,1.10197,1.10181,1.1019,69.79668,Bullish,1.10189,1.10172,,,1.10173,,
2024-08-16 21:20:00,1.10189,1.10196,1.10179,1.10189,69.47601,None,1.10188,1.10178,,,1.10178,,
2024-08-16 21:25:00,1.1019,1.10204,1.10185,1.10196,70.81679,Bullish,1.10194,1.10183,,,1.10184,,
2024-08-16 21:30:00,1.10197,1.10204,1.1019,1.10198,71.28695,Bullish,1.10197,1.1019,,,1.1019,,
2024-08-16 21:35:00,1.10198,1.1022,1.10192,1.10209,73.61642,Bullish,1.10206,1.10194,,,1.10195,,
2024-08-16 21:40:00,1.10211,1.1023,1.10205,1.1022,75.57349,Bullish,1.10217,1.10198,,,1.102,,
2024-08-16 21:45:00,1.10219,1.10234,1.10214,1.10227,76.89203,Bullish,1.10224,1.102,,,1.10202,,
2024-08-16 21:50:00,1.10228,1.1024,1.10222,1.10236,78.3361,Bullish,1.10231,1.10203,,,1.10206,,
2024-08-16 21:55:00,1.10234,1.10251,1.10227,1.10246,79.98102,Bullish,1.10239,1.10207,,,1.1021,,
2024-08-16 22:00:00,1.10245,1.10256,1.10237,1.10242,77.56485,Bearish,1.10247,1.10213,,,1.10216,,
2024-08-16 22:05:00,1.10242,1.10255,1.10227,1.10233,72.11044,Bearish,1.10241,1.10218,1.10195,,1.10221,1.10198,
2024-08-16 22:10:00,1.1023,1.10256,1.10222,1.10237,73.03274,Bullish,1.10239,1.10223,1.10201,,1.10225,1.10202,
2024-08-16 22:15:00,1.10236,1.10241,1.10218,1.10223,65.06101,Bearish,1.10229,1.10227,1.10205,,1.10227,1.10206,
2024-08-16 22:20:00,1.10224,1.10232,1.10218,1.10227,66.29485,Bullish,1.10225,1.1023,1.1021,,1.10229,1.10211,
2024-08-16 22:25:00,1.10229,1.10236,1.10221,1.10226,65.76683,Bearish,1.10228,1.10232,1.10213,,1.10231,1.10214,
2024-08-16 22:30:00,1.10227,1.10249,1.10222,1.10229,66.66964,Bullish,1.10235,1.10234,1.10216,,1.10234,1.10217,
2024-08-16 22:35:00,1.10231,1.1024,1.10224,1.10234,68.08949,Bullish,1.10232,1.10235,1.10217,,1.10234,1.10218,
2024-08-16 22:40:00,1.10232,1.10249,1.10225,1.10234,68.15167,Bullish,1.10237,1.10235,1.10219,,1.10235,1.1022,
2024-08-16 22:45:00,1.10232,1.10269,1.10227,1.10264,75.69834,Bullish,1.10248,1.10236,1.10222,,1.10237,1.10223,
2024-08-16 22:50:00,1.10263,1.10302,1.10255,1.10268,76.5962,Bullish,1.10278,1.10239,1.10226,,1.10243,1.10228,
2024-08-16 22:55:00,1.10269,1.10316,1.10237,1.10283,79.32313,Bullish,1.10276,1.10243,1.10231,,1.10246,1.10233,
